text,location,device,command,input_text,location_encoded,device_encoded
,厨房,灯,1,厨房的灯打开，行吗,3.0,1.0
,厨房,灯,1,厨房的灯打开,3.0,1.0
,厨房,灯,1,能否厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,可以厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,请厨房的灯打开吗,3.0,1.0
,厨房,灯,1,麻烦厨房的灯打开,3.0,1.0
,厨房,灯,1,可以厨房的灯打开吗,3.0,1.0
,厨房,灯,1,请厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,厨房的灯打开一下,3.0,1.0
,厨房,灯,1,能否厨房的灯打开,3.0,1.0
,厨房,灯,1,能否厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,厨房的灯打开，吗,3.0,1.0
,厨房,灯,1,能否，厨房的灯打开,3.0,1.0
,厨房,灯,1,可以，厨房的灯打开,3.0,1.0
,厨房,灯,1,可以厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,可以厨房的灯打开,3.0,1.0
,厨房,灯,1,麻烦厨房的灯打开吗,3.0,1.0
,厨房,灯,1,厨房的灯打开吗,3.0,1.0
,厨房,灯,1,厨房的灯打开，好吗,3.0,1.0
,厨房,灯,1,能否厨房的灯打开吗,3.0,1.0
,厨房,灯,1,请，厨房的灯打开,3.0,1.0
,厨房,灯,1,厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,厨房的灯打开，一下,3.0,1.0
,厨房,灯,1,麻烦厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,帮我厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,帮我厨房的灯打开一下,3.0,1.0
,厨房,灯,1,帮我厨房的灯打开吗,3.0,1.0
,厨房,灯,1,帮我厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,麻烦，厨房的灯打开,3.0,1.0
,厨房,灯,1,请厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,麻烦厨房的灯打开好吗,3.0,1.0
,厨房,灯,1,帮我厨房的灯打开,3.0,1.0
,厨房,灯,1,可以厨房的灯打开一下,3.0,1.0
,厨房,灯,1,厨房的灯打开行吗,3.0,1.0
,厨房,灯,1,帮我，厨房的灯打开,3.0,1.0
,厨房,灯,1,能否厨房的灯打开一下,3.0,1.0
,厨房,灯,1,麻烦厨房的灯打开一下,3.0,1.0
,厨房,灯,1,请厨房的灯打开,3.0,1.0
,厨房,灯,1,请厨房的灯打开一下,3.0,1.0
,厨房,灯,1,可以打开厨房的灯,3.0,1.0
,厨房,灯,1,打开厨房的灯，好吗,3.0,1.0
,厨房,灯,1,麻烦打开厨房的灯一下,3.0,1.0
,厨房,灯,1,帮我打开厨房的灯行吗,3.0,1.0
,厨房,灯,1,麻烦打开厨房的灯好吗,3.0,1.0
,厨房,灯,1,打开厨房的灯行吗,3.0,1.0
,厨房,灯,1,能否，打开厨房的灯,3.0,1.0
,厨房,灯,1,打开厨房的灯，一下,3.0,1.0
,厨房,灯,1,请，打开厨房的灯,3.0,1.0
,厨房,灯,1,能否打开厨房的灯吗,3.0,1.0
