input_text,label
厨房的灯打开,1
厨房的灯打开，行吗,1
能否厨房的灯打开好吗,1
可以厨房的灯打开好吗,1
请厨房的灯打开吗,1
麻烦厨房的灯打开,1
可以厨房的灯打开吗,1
请厨房的灯打开行吗,1
厨房的灯打开一下,1
能否厨房的灯打开,1
能否厨房的灯打开行吗,1
厨房的灯打开，吗,1
能否，厨房的灯打开,1
可以，厨房的灯打开,1
可以厨房的灯打开行吗,1
可以厨房的灯打开,1
麻烦厨房的灯打开吗,1
厨房的灯打开吗,1
厨房的灯打开，好吗,1
能否厨房的灯打开吗,1
请，厨房的灯打开,1
厨房的灯打开好吗,1
厨房的灯打开，一下,1
麻烦厨房的灯打开行吗,1
帮我厨房的灯打开好吗,1
帮我厨房的灯打开一下,1
帮我厨房的灯打开吗,1
帮我厨房的灯打开行吗,1
麻烦，厨房的灯打开,1
请厨房的灯打开好吗,1
麻烦厨房的灯打开好吗,1
帮我厨房的灯打开,1
可以厨房的灯打开一下,1
厨房的灯打开行吗,1
帮我，厨房的灯打开,1
能否厨房的灯打开一下,1
麻烦厨房的灯打开一下,1
请厨房的灯打开,1
请厨房的灯打开一下,1
打开厨房的灯,1
可以打开厨房的灯,1
打开厨房的灯，好吗,1
麻烦打开厨房的灯一下,1
帮我打开厨房的灯行吗,1
麻烦打开厨房的灯好吗,1
打开厨房的灯行吗,1
能否，打开厨房的灯,1
打开厨房的灯，一下,1
请，打开厨房的灯,1
能否打开厨房的灯吗,1
打开厨房的灯吗,1
可以打开厨房的灯行吗,1
麻烦打开厨房的灯行吗,1
可以打开厨房的灯好吗,1
请打开厨房的灯,1
能否打开厨房的灯好吗,1
打开厨房的灯一下,1
能否打开厨房的灯,1
打开厨房的灯，吗,1
能否打开厨房的灯一下,1
麻烦打开厨房的灯吗,1
可以打开厨房的灯一下,1
请打开厨房的灯好吗,1
帮我打开厨房的灯一下,1
麻烦打开厨房的灯,1
请打开厨房的灯行吗,1
可以打开厨房的灯吗,1
帮我打开厨房的灯好吗,1
请打开厨房的灯一下,1
请打开厨房的灯吗,1
打开厨房的灯好吗,1
麻烦，打开厨房的灯,1
打开厨房的灯，行吗,1
帮我打开厨房的灯吗,1
能否打开厨房的灯行吗,1
可以，打开厨房的灯,1
帮我，打开厨房的灯,1
帮我打开厨房的灯,1
厨房的灯关闭,1
能否厨房的灯关闭好吗,1
厨房的灯关闭，好吗,1
厨房的灯关闭好吗,1
麻烦厨房的灯关闭吗,1
请厨房的灯关闭,1
能否厨房的灯关闭行吗,1
厨房的灯关闭吗,1
可以厨房的灯关闭行吗,1
厨房的灯关闭，吗,1
麻烦，厨房的灯关闭,1
请厨房的灯关闭好吗,1
能否厨房的灯关闭一下,1
可以，厨房的灯关闭,1
厨房的灯关闭一下,1
请厨房的灯关闭行吗,1
帮我，厨房的灯关闭,1
能否厨房的灯关闭,1
帮我厨房的灯关闭吗,1
麻烦厨房的灯关闭,1
帮我厨房的灯关闭一下,1
请厨房的灯关闭一下,1
麻烦厨房的灯关闭行吗,1
请，厨房的灯关闭,1
能否厨房的灯关闭吗,1
麻烦厨房的灯关闭好吗,1
可以厨房的灯关闭,1
可以厨房的灯关闭好吗,1
可以厨房的灯关闭吗,1
可以厨房的灯关闭一下,1
厨房的灯关闭行吗,1
厨房的灯关闭，一下,1
能否，厨房的灯关闭,1
帮我厨房的灯关闭行吗,1
请厨房的灯关闭吗,1
帮我厨房的灯关闭,1
厨房的灯关闭，行吗,1
帮我厨房的灯关闭好吗,1
麻烦厨房的灯关闭一下,1
关闭厨房的灯,1
可以关闭厨房的灯行吗,1
请关闭厨房的灯,1
关闭厨房的灯，好吗,1
请，关闭厨房的灯,1
关闭厨房的灯好吗,1
帮我关闭厨房的灯一下,1
帮我关闭厨房的灯行吗,1
可以，关闭厨房的灯,1
